Ano,Mes,Fechamento
2018,10,26.32
2018,10,25.68
2018,10,26.2
2018,10,26.53
2018,10,25.92
2018,10,25.7
2018,10,26.45
2018,10,26.73
2018,10,25.77
2018,10,25.29
2018,10,26.05
2018,10,26.82
2018,10,26.6
2018,10,23.96
2018,10,24.02
2018,10,23.79
2018,10,22.82
2018,10,21.0
2018,9,21.09
2018,9,21.46
2018,9,20.19
2018,9,20.08
2018,9,20.0
2018,9,20.14
2018,9,19.87
2018,9,19.98
2018,9,20.25
2018,9,19.4
2018,9,18.79
2018,9,18.71
2018,9,18.95
2018,9,18.5
2018,9,19.26
2018,9,18.99
2018,9,18.65
2018,9,18.65
2018,9,19.0
2018,8,19.26
2018,8,18.8
2018,8,19.3
2018,8,18.35
2018,8,18.71
2018,8,18.3
2018,8,17.95
2018,8,18.35
2018,8,17.72
2018,8,18.36
2018,8,18.46
2018,8,18.95
2018,8,19.05
2018,8,19.98
2018,8,20.04
2018,8,19.59
2018,8,20.34
2018,8,20.14
2018,8,20.71
2018,8,21.04
2018,8,21.11
2018,8,20.41
2018,8,20.01
2018,7,19.72
2018,7,19.89
2018,7,19.77
2018,7,19.41
2018,7,19.96
2018,7,19.66
2018,7,19.26
2018,7,19.29
2018,7,18.4
2018,7,18.05
2018,7,18.29
2018,7,17.88
2018,7,18.11
2018,7,17.95
2018,7,17.41
2018,7,17.75
2018,7,17.94
2018,7,17.86
2018,7,18.45
2018,7,17.5
2018,7,17.47
2018,6,17.19
2018,6,16.6
2018,6,16.55
2018,6,16.04
2018,6,15.7
2018,6,15.11
2018,6,15.1
2018,6,16.21
2018,6,15.42
2018,6,14.5
2018,6,14.97
2018,6,15.1
2018,6,15.17
2018,6,15.46
2018,6,15.41
2018,6,15.25
2018,6,15.76
2018,6,16.33
2018,6,16.59
2018,6,17.53
2018,6,16.16
2018,5,18.98
2018,5,19.3
2018,5,16.91
2018,5,19.8
2018,5,20.08
2018,5,23.27
2018,5,24.71
2018,5,25.05
2018,5,25.65
2018,5,25.95
2018,5,27.39
2018,5,26.79
2018,5,26.24
2018,5,25.44
2018,5,25.75
2018,5,24.78
2018,5,22.91
2018,5,22.65
2018,5,22.27
2018,5,22.45
2018,5,22.6
2018,4,22.97
2018,4,22.71
2018,4,22.63
2018,4,21.73
2018,4,22.4
2018,4,22.48
2018,4,22.36
2018,4,22.2
2018,4,21.8
2018,4,21.03
2018,4,20.62
2018,4,21.2
2018,4,21.68
2018,4,21.8
2018,4,21.4
2018,4,20.53
2018,4,21.28
2018,4,21.15
2018,4,20.38
2018,4,20.71
2018,4,20.9
2018,3,21.41
2018,3,21.2
2018,3,21.44
2018,3,22.03
2018,3,21.75
2018,3,21.72
2018,3,22.05
2018,3,21.16
2018,3,20.93
2018,3,21.43
2018,3,21.31
2018,3,22.38
2018,3,22.11
2018,3,22.33
2018,3,22.39
2018,3,21.7
2018,3,21.67
2018,3,21.9
2018,3,22.12
2018,3,21.51
2018,3,21.03
2018,2,21.46
2018,2,21.5
2018,2,21.52
2018,2,21.12
2018,2,20.74
2018,2,20.25
2018,2,20.44
2018,2,20.05
2018,2,19.42
2018,2,19.4
2018,2,19.25
2018,2,18.77
2018,2,18.77
2018,2,18.77
2018,2,19.05
2018,2,19.44
2018,2,19.99
2018,2,19.04
2018,2,19.97
2018,2,20.52
2018,1,19.7
2018,1,19.49
2018,1,19.85
2018,1,19.93
2018,1,19.34
2018,1,18.29
2018,1,18.47
2018,1,18.26
2018,1,18.22
2018,1,18.36
2018,1,17.65
2018,1,17.35
2018,1,17.3
2018,1,17.25
2018,1,16.8
2018,1,17.03
2018,1,17.03
2018,1,16.83
2018,1,16.73
2018,1,16.7
2018,1,16.55
2017,12,16.1
2017,12,16.1
2017,12,16.05
2017,12,15.97
2017,12,15.75
2017,12,15.86
2017,12,15.24
2017,12,15.14
2017,12,15.22
2017,12,14.95
2017,12,15.01
2017,12,15.18
2017,12,15.49
2017,12,15.38
2017,12,15.35
2017,12,15.26
2017,12,15.52
2017,12,15.31
2017,12,15.48
2017,12,15.61
2017,11,15.38
2017,11,15.33
2017,11,15.84
2017,11,15.87
2017,11,16.1
2017,11,16.19
2017,11,16.11
2017,11,15.9
2017,11,16.02
2017,11,15.81
2017,11,15.35
2017,11,16.64
2017,11,16.72
2017,11,16.72
2017,11,16.95
2017,11,16.5
2017,11,17.43
2017,11,16.94
