Ano,Mes,Taxa SELIC
2018,2,6.65
2017,12,6.9
2017,10,7.4
2017,9,8.15
2017,7,9.15
2017,6,10.15
2017,4,11.15
2017,2,12.15
2017,1,12.9
2016,12,13.65
2016,10,13.9
2016,9,14.15
2016,7,14.15
2016,6,14.15
2016,4,14.15
2016,3,14.15
2016,1,14.15
2015,11,14.15
2015,10,14.15
2015,9,14.15
2015,7,14.15
2015,6,13.65
2015,4,13.15
2015,3,12.65
2015,1,12.15
2014,12,11.65
2014,10,11.15
2014,9,10.9
2014,7,10.9
2014,5,10.9
2014,4,10.9
2014,2,10.65
2014,1,10.4
2013,11,9.9
2013,10,9.4
2013,8,8.9
2013,7,8.4
2013,5,7.9
2013,4,7.4
2013,3,7.16
2013,1,7.12
2012,11,7.14
2012,10,7.14
2012,8,7.39
2012,7,7.89
2012,5,8.39
2012,4,8.9
2012,3,9.65
2012,1,10.4
2011,12,10.9
2011,10,11.4
2011,9,11.9
2011,7,12.42
2011,6,12.17
2011,4,11.92
2011,3,11.67
2011,1,11.17
2010,12,10.66
2010,10,10.66
2010,9,10.66
2010,7,10.66
2010,6,10.16
2010,4,9.4
2010,3,8.65
2010,1,8.65
2009,12,8.65
2009,10,8.65
2009,9,8.65
2009,7,8.65
2009,6,9.16
2009,4,10.16
2009,3,11.16
2009,1,12.66
2008,12,13.66
2008,10,13.65
2008,9,13.66
2008,7,12.92
2008,6,12.17
2008,4,11.63
2008,3,11.18
2008,1,11.18
