DIA,MES,SENADOR,TIPO_DESPESA,CNPJ_CPF,FORNECEDOR,DOCUMENTO,DETALHAMENTO,VALOR_REEMBOLSADO
01,1,1,Aluguel,19,19,01/2021,"Despesa com pagamento de aluguel de imóvel para uso do Escritório de apoio do Senador Acir Gurgacz, em Porto Velho/RO.",1000.0
01,1,1,Aluguel,22,22,001/21,Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz,6000.0
01,1,1,Divulgação,23,23,44,Divulgação da atividade parlamentar,6000.0
21,1,1,Aluguel,1795,529,023.489.627,Pagamento de energia elétrica para uso do escritório de apoio do Senador Acir Gurgacz,75.29
21,1,1,Passagens,22,22,VVEWKR,"Companhia Aérea: LATAM, Localizador: VVEWKR. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3033 - CWBBSB - 25/01/2021;",1486.46
25,1,1,Divulgação,22,22,10,Divulgação da atividade parlamentar,1500.0
27,1,1,Passagens,22,22,FYJJRL,"Companhia Aérea: AZUL, Localizador: FYJJRL. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4586 - VCPCAC - 29/01/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4399 - BSBVCP - 29/01/2021;",1890.0
02,2,1,Aluguel,19,19,02/2021,"Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz, em Porto Velho/RO.",1000.0
02,2,1,Aluguel,22,22,002/21,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.,6000.0
02,2,1,Divulgação,22,22,202100000000014,Despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500.0
02,2,1,Divulgação,23,23,47,Produção de textos e edição de vídeos para divulgação da atividade parlamentar,6000.0
02,2,1,"Locomoção, hospedagem e alimentação",13,13,000006400,Despesa com combustível para abastecimento de aeronave,2868.19
02,2,1,"Locomoção, hospedagem e alimentação",1822,22,000.011.347,Despesa com aquisição de combustível para abastecimento de aeronave,1653.6
02,2,1,Passagens,22,22,KXNXXK,"Companhia Aérea: LATAM, Localizador: KXNXXK. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3132 - CGHCWB - 11/02/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3083 - BSBCGH - 11/02/2021;",1732.44
18,2,1,Passagens,22,22,YMVM5U,"Companhia Aérea: AZUL, Localizador: YMVM5U. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4586 - VCPCAC - 25/02/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4399 - BSBVCP - 25/02/2021;",2720.0
19,2,1,Aluguel,1795,529,00004521639202102,Despesa com energia elétrica para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná,73.45
19,2,1,Aluguel,1795,529,000454206202102,Despesa com energia elétrica para uso do escritório de apoio do Senador Acir Gurgacz,171.0
20,2,1,Passagens,22,22,BCABYJ,"Companhia Aérea: LATAM, Localizador: BCABYJ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3262 - GRUBSB - 22/02/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3289 - CWBGRU - 22/02/2021;",2455.0
25,2,1,Aluguel,2152,13,652754884,"Despesa com telefone celular para uso do escritório de apoio do Senador Acir Gurgacz, em Ji-Paraná/RO.",189.77
03,3,1,Aluguel,19,19,03/2021,Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz,1000.0
03,3,1,Aluguel,22,22,003/21,Despesa com aluguel de imóvel para uso do escritório político do Senador Acir Gurgacz,6000.0
03,3,1,Contratações,23,23,50,Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000.0
03,3,1,Divulgação,22,22,202100000000031,Divulgação da atividade parlamentar,1500.0
03,3,1,Divulgação,20,20,171,Despesa com divulgação da atividade parlamentar,1000.0
03,3,1,Divulgação,21,21,53,Divulgação da atividade parlamentar,1000.0
03,3,1,Divulgação,17,17,265,Despesa com divulgação da atividade parlamentar,500.0
03,3,1,Passagens,22,22,CHRNFD,"Companhia Aérea: AZUL, Localizador: CHRNFD. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4745 - VCPBSB - 08/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 08/03/2021;",1490.0
03,3,1,Passagens,22,22,KKGKQT,"Companhia Aérea: LATAM, Localizador: KKGKQT. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3660 - BSBCWB - 12/03/2021;",1495.0
14,3,1,Passagens,22,22,MXYDXP,"Companhia Aérea: LATAM, Localizador: MXYDXP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3084 - CGHBSB - 15/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3165 - CWBCGH - 15/03/2021;",1570.0
